City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vadso,70.0744,29.7487,-9.91,79,40,4.63,NO,1702343115
1,puerto ayora,-0.7393,-90.3518,24.25,85,12,2.86,EC,1702343115
2,uturoa,-16.7333,-151.4333,26.87,77,100,8.69,PF,1702343054
3,waitangi,-43.9535,-176.5597,15.46,89,100,3.58,NZ,1702343116
4,chongjin,41.7956,129.7758,-5.14,68,12,0.41,KP,1702343116
5,puerto leguizamo,-0.1934,-74.7819,23.85,92,100,0.42,CO,1702343117
6,port-aux-francais,-49.35,70.2167,6.46,99,100,10.74,TF,1702343117
7,adamstown,-25.066,-130.1015,21.73,60,37,0.74,PN,1702343117
8,molochnoye,59.2917,39.6787,-7.88,92,100,6.26,RU,1702343118
9,medina de rioseco,41.8833,-5.0441,10.78,92,100,5.95,ES,1702343118
10,georgetown,5.4112,100.3354,26.96,94,20,1.54,MY,1702342923
11,yaren,-0.5472,166.916,29.06,75,22,5.02,NR,1702343119
12,ushuaia,-54.8,-68.3,10.81,50,20,2.06,AR,1702343119
13,lihue,21.9789,-159.3672,27.58,80,75,4.12,US,1702343119
14,edinburgh of the seven seas,-37.0676,-12.3116,14.07,91,100,9.21,SH,1702343120
15,hami,42.8,93.45,-2.77,63,100,1.5,CN,1702343120
16,anadyr,64.75,177.4833,-24.72,75,20,5.0,RU,1702343120
17,isafjordur,66.0755,-23.124,-5.08,81,34,1.89,IS,1702343121
18,nouadhibou,20.931,-17.0347,20.99,40,50,3.09,MR,1702343121
19,birao,10.2849,22.7882,21.45,23,100,2.12,CF,1702342943
20,tazacorte,28.629,-17.9293,19.54,52,0,4.47,ES,1702343121
21,vilyuchinsk,52.9306,158.4028,-4.85,76,18,2.1,RU,1702343065
22,bredasdorp,-34.5322,20.0403,16.15,78,100,5.27,ZA,1702343122
23,college,64.8569,-147.8028,-6.03,77,75,3.6,US,1702343026
24,blackmans bay,-43.0167,147.3167,20.07,38,100,2.06,AU,1702343122
25,salalah,17.0151,54.0924,22.05,28,0,3.6,OM,1702343123
26,bekondo,4.6819,9.3214,22.54,88,100,1.02,CM,1702343123
27,dakhla,23.6848,-15.958,19.93,42,0,5.28,EH,1702343124
28,vondrozo,-22.8167,47.2833,20.37,99,61,0.54,MG,1702343124
29,hammerfest,70.6634,23.6821,-0.75,93,75,6.69,NO,1702343125
30,kone,-21.0595,164.8658,30.9,42,60,3.12,NC,1702343125
31,hamilton,39.1834,-84.5333,1.65,79,0,1.54,US,1702343125
32,bethel,41.3712,-73.414,3.75,63,100,4.63,US,1702343018
33,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,87,40,7.6,RU,1702343052
34,okha,53.5739,142.9478,-19.99,86,42,10.23,RU,1702343126
35,ilulissat,69.2167,-51.1,2.01,64,100,6.17,GL,1702343126
36,port mathurin,-19.6833,63.4167,25.7,78,5,3.88,MU,1702343126
37,wailua homesteads,22.0669,-159.378,27.24,84,75,4.12,US,1702343127
38,fort st. john,56.2499,-120.8529,-5.06,74,40,3.6,CA,1702343127
39,fale old settlement,-9.3852,-171.2468,28.93,77,100,9.18,TK,1702343128
40,majene,-3.5403,118.9707,29.86,65,93,1.76,ID,1702343128
41,whitehorse,60.7161,-135.0538,1.43,75,75,8.23,CA,1702342906
42,mount isa,-20.7333,139.5,31.87,31,0,4.63,AU,1702343129
43,aswan,24.0934,32.907,18.61,25,0,2.57,EG,1702343129
44,magistral'nyy,56.1725,107.4458,-37.02,100,37,0.31,RU,1702343129
45,yellowknife,62.456,-114.3525,-25.25,76,20,3.6,CA,1702342883
46,hobyo,5.3505,48.5268,26.5,74,100,7.59,SO,1702342865
47,pangkalpinang,-2.1333,106.1333,27.5,80,100,2.22,ID,1702343130
48,jamestown,42.097,-79.2353,0.4,78,100,3.6,US,1702342901
49,jayapura,-2.5333,140.7,29.66,65,100,3.9,ID,1702343131
50,coalcoman de vazquez pallares,18.7833,-103.15,19.01,71,32,1.67,MX,1702343131
51,kavaratti,10.5669,72.642,27.76,74,81,1.47,IN,1702343132
52,stanley,54.868,-1.6985,0.95,96,40,0.51,GB,1702343018
53,vicar,36.8316,-2.6427,10.11,50,100,1.98,ES,1702343132
54,ribeira grande,38.5167,-28.7,13.21,81,4,2.24,PT,1702343133
55,avarua,-21.2078,-159.775,27.03,78,75,10.29,CK,1702343133
56,albany,42.6001,-73.9662,1.4,72,18,0.45,US,1702342987
57,karratha,-20.7377,116.8463,30.05,32,0,2.45,AU,1702343133
58,aasiaat,68.7098,-52.8699,-0.73,79,100,5.19,GL,1702343021
